"","claim_number","age_of_driver","gender","marital_status","safty_rating","annual_income","high_education_ind","address_change_ind","living_status","zip_code","claim_date","claim_day_of_week","accident_site","past_num_of_claims","witness_present_ind","liab_prct","channel","policy_report_filed_ind","claim_est_payout","age_of_vehicle","vehicle_category","vehicle_price","vehicle_color","vehicle_weight","fraud"
"9583",23467,42,"M",1,85,11.2445230072504,1,1,"Rent",15009,"10/20/2016","Thursday","Local",0,0,7,"Broker",1,8.48507694169195,11,"Compact",9.61587214452889,"gray",10.3500609204267,1
"5579",15438,40,"F",0,57,11.4289349750486,0,0,"Rent",50011,"5/11/2016","Wednesday","Highway",10,0,50,"Phone",0,7.18710523556435,1,"Large",9.61587214452889,"other",10.6676120262486,1
"14638",20568,39,"F",0,90,10.8446269823797,0,1,"Rent",80014,"12/25/2015","Friday","Parking Lot",0,0,21,"Broker",0,0,4,"Large",10.7063966895632,"white",10.6249698595245,1
"3280",4994,45,"F",0,85,11.1086346670898,0,0,"Rent",50042,"7/16/2015","Thursday","Highway",0,0,1,"Broker",1,9.19968985605065,7,"Compact",10.7044621352938,"blue",10.0916279378963,1
"6500",4356,47,"M",1,46,11.596089450231,1,1,"Own",20106,"5/16/2016","Monday","Parking Lot",9,0,32,"Broker",1,0,1,"Large",10.5912841201911,"blue",9.8302492594865,1
"8234",15652,45,"M",0,91,10.9738375314863,0,0,"Rent",85003,"12/26/2016","Monday","Local",0,0,42,"Broker",0,8.39426142375833,1,"Compact",10.6341180794613,"red",9.57598660310675,1
"1384",20587,50,"F",1,82,11.3403918496074,0,0,"Own",20107,"8/21/2016","Sunday","Local",17,0,7,"Phone",0,0,4,"Compact",9.61587214452889,"blue",10.0860120862289,1
"2113",23702,34,"M",0,80,11.6256200206881,1,1,"Own",15035,"1/10/2016","Sunday","Highway",4,0,59,"Phone",0,8.68876551498616,1,"Medium",9.64878832199906,"white",9.65671914272295,1
"11671",25634,51,"F",0,39,10.392098241731,0,1,"Own",50009,"1/21/2016","Thursday","Parking Lot",9,0,88,"Phone",0,9.4141282041159,1,"Medium",10.3101644472987,"red",9.2485486785881,1
"2112",16713,42,"F",1,94,11.6572682038064,0,1,"Rent",80007,"1/16/2016","Saturday","Parking Lot",0,0,25,"Broker",1,8.50378571150388,1,"Medium",9.80942748679024,"silver",9.50129260835862,1
"9970",24823,35,"M",1,83,11.3544454269817,0,0,"Own",15006,"2/24/2015","Tuesday","Local",0,0,13,"Broker",1,0,10,"Medium",9.61587214452889,"gray",10.1864202648607,1
"11679",13559,34,"M",1,85,10.8473739960011,1,0,"Own",15025,"5/14/2016","Saturday","Local",0,0,88,"Broker",0,0,1,"Large",9.99861674829203,"red",10.3424373010579,1
"10006",7490,42,"M",0,64,11.2590004893166,1,0,"Rent",85021,"5/23/2015","Saturday","Parking Lot",0,0,35,"Broker",1,0,1,"Medium",9.98953923347601,"other",9.72141331715571,1
"12816",12503,38,"M",1,87,10.7792062586452,0,0,"Own",15059,"1/19/2016","Tuesday","Local",11,0,50,"Broker",1,0,2,"Medium",10.2220940916306,"silver",9.78383550830835,1
"5162",13338,39,"F",1,66,11.1309034085885,1,1,"Own",80014,"1/27/2016","Wednesday","Parking Lot",4,0,64,"Broker",1,8.86446546850649,1,"Compact",9.61587214452889,"white",9.56074662345435,1
"14927",5902,44,"F",0,71,11.6918328668311,0,1,"Rent",20153,"8/18/2015","Tuesday","Local",6,0,21,"Phone",0,7.90990071916254,1,"Large",10.1664692110322,"black",9.35600989367017,1
"16410",5960,62,"M",1,45,11.0471050737707,1,1,"Own",50001,"9/20/2015","Sunday","Local",0,0,24,"Broker",1,8.88777833832771,11,"Large",9.61587214452889,"black",10.0617810077783,1
"13075",23808,46,"M",0,79,10.9047626083153,1,0,"Rent",80021,"10/19/2015","Monday","Local",0,0,94,"Broker",1,0,3,"Compact",9.61587214452889,"blue",8.76300698483922,1
"6343",22295,51,"F",0,95,11.3041285073629,0,1,"Rent",15005,"3/11/2016","Friday","Parking Lot",7,0,4,"Broker",1,8.9199038428225,1,"Compact",10.5678863968888,"red",10.2691984267675,1
"17013",10189,43,"F",0,68,11.561610861747,0,1,"Own",20118,"3/23/2015","Monday","Highway",0,0,100,"Broker",1,8.58206853082417,4,"Compact",11.6001174294795,"gray",10.1651924277312,1
"7354",2991,34,"F",1,61,10.4402440463255,0,1,"Own",50039,"1/1/2016","Friday","Highway",0,0,56,"Broker",1,0,1,"Large",9.61587214452889,"gray",10.5596443022931,1
"14575",2180,47,"F",1,57,10.6215956023853,1,0,"Own",15022,"11/22/2015","Sunday","Highway",11,1,20,"Broker",0,0,6,"Medium",9.61587214452889,"red",10.2840005625321,1
"11403",3093,31,"F",0,68,11.1305956599142,1,1,"Own",15053,"4/18/2015","Saturday","Local",0,1,62,"Online",1,9.32016381394662,1,"Large",9.61587214452889,"other",9.87964871699938,1
"14286",25061,36,"F",1,78,10.3192659619194,0,0,"Rent",85040,"9/27/2015","Sunday","Highway",14,0,46,"Broker",1,0,1,"Medium",10.9368891074494,"blue",10.6364372447602,1
"6283",26348,33,"M",0,76,10.9088691644007,1,0,"Rent",20152,"9/1/2015","Tuesday","Local",0,1,100,"Broker",1,0,8,"Medium",9.61587214452889,"red",10.6791519892399,1
"6786",23982,39,"M",1,91,11.4635566334051,0,1,"Own",80046,"1/23/2016","Saturday","Highway",0,0,92,"Broker",0,7.38013732754491,1,"Medium",10.4837390949183,"black",10.1028160836531,1
"8481",27900,29,"F",0,62,10.8014513677174,1,1,"Own",85022,"5/22/2015","Friday","Local",0,1,1,"Online",0,7.4280598353819,1,"Medium",9.61587214452889,"silver",9.27400019936295,1
"15301",15578,48,"M",1,88,10.6623288362914,0,0,"Own",15001,"10/8/2016","Saturday","Highway",7,0,66,"Online",1,0,2,"Large",11.1164565043071,"gray",9.15027802898888,1
"11949",16733,43,"M",1,74,10.4071677081412,0,1,"Rent",80036,"7/16/2016","Saturday","Local",21,0,100,"Broker",1,8.43387027640684,1,"Large",11.0431442329424,"red",8.66225397324265,1
"15578",24218,26,"M",0,45,10.7871931073126,1,1,"Rent",50032,"12/20/2016","Tuesday","Local",0,0,50,"Online",1,8.0097451903883,1,"Compact",9.61587214452889,"black",9.09149601870896,1
"1486",21193,40,"M",0,78,10.4595541925477,1,0,"Own",80030,"10/31/2015","Saturday","Local",2,0,81,"Broker",1,5.77935366150327,1,"Medium",11.2466538054118,"other",9.78943493197122,1
"17587",18092,25,"F",1,34,10.5674118744192,0,1,"Rent",15015,"1/13/2015","Tuesday","Parking Lot",7,0,30,"Broker",1,8.63464372735627,2,"Compact",9.61587214452889,"silver",8.68961418582022,1
"9573",25404,45,"F",1,37,10.7899992579212,1,0,"Rent",20129,"4/12/2015","Sunday","Parking Lot",0,0,49,"Broker",0,7.60194691390967,1,"Medium",9.61587214452889,"silver",10.1698377001146,1
"3737",14259,43,"F",0,66,11.5325908279441,0,1,"Own",85072,"9/15/2015","Tuesday","Local",0,1,22,"Phone",1,0,1,"Medium",10.7180339678678,"silver",10.5184403404646,1
"8775",13764,43,"M",1,79,11.4215883819536,1,0,"Own",15044,"11/9/2015","Monday","Highway",0,0,39,"Broker",1,5.16140884928058,1,"Medium",10.8494048561832,"gray",10.3510026701254,1
"1829",15281,47,"F",1,41,11.4468711288988,1,0,"Own",15057,"12/1/2016","Thursday","Highway",0,0,95,"Broker",1,0,1,"Medium",9.61587214452889,"white",10.5207016472428,1
"14985",29097,38,"F",0,70,11.2941100338165,0,0,"Own",50025,"11/3/2016","Thursday","Local",0,0,88,"Broker",1,7.72560814493716,1,"Compact",10.5722590717031,"gray",9.45791777616145,1
"9416",4599,44,"M",0,86,10.3650178845772,1,1,"Rent",20158,"11/10/2016","Thursday","Local",0,0,35,"Broker",0,8.68883289986333,3,"Compact",9.61587214452889,"red",10.6305719967924,1
"4883",8731,29,"M",0,75,11.1321480913918,0,1,"Rent",80002,"10/29/2016","Saturday","Local",4,0,76,"Online",1,8.05864054865478,1,"Compact",10.2402009215167,"blue",9.70049605091886,1
"2435",3014,46,"F",1,75,10.7284740700014,1,1,"Rent",85036,"4/12/2016","Tuesday","Local",17,0,4,"Broker",1,6.21909800369504,1,"Large",10.0231998718964,"other",8.34017261930339,1
"2424",172,53,"F",1,63,11.2540640583266,1,1,"Own",80110,"2/12/2015","Thursday","Local",17,0,1,"Broker",1,8.65773396086163,1,"Large",10.7508997021095,"black",9.27226927132335,1
"2107",22039,55,"M",1,77,11.640755636475,0,0,"Rent",15042,"1/6/2016","Wednesday","Parking Lot",1,0,31,"Broker",1,0,1,"Medium",11.3093296449955,"red",10.0600022193715,1
"16919",26401,42,"F",1,80,10.5987824251535,0,1,"Own",15009,"10/8/2015","Thursday","Highway",0,0,73,"Phone",1,0,1,"Large",9.61587214452889,"gray",10.0906212324711,1
"7384",22120,48,"F",0,54,11.4029766614224,1,1,"Own",50048,"6/7/2015","Sunday","Local",31,0,96,"Broker",0,0,1,"Compact",9.61587214452889,"other",10.0199729087929,1
"15415",13761,73,"F",1,81,11.0827731192572,1,1,"Own",20146,"3/18/2015","Wednesday","Highway",0,0,6,"Phone",1,0,3,"Medium",9.61587214452889,"blue",9.46442934508976,1
"10693",8220,63,"M",0,51,11.3955261057006,1,1,"Rent",20149,"7/12/2016","Tuesday","Local",1,0,0,"Broker",1,8.1252818150971,2,"Large",9.61587214452889,"black",10.2532932038655,1
"2030",18942,46,"F",0,79,11.6549370489162,1,1,"Own",15043,"9/20/2016","Tuesday","Local",8,0,50,"Phone",1,0,1,"Compact",10.1970837849681,"other",10.3368901330595,1
"16040",25065,49,"F",0,75,10.4334096719931,1,0,"Rent",15043,"6/21/2015","Sunday","Parking Lot",11,0,100,"Broker",0,9.08473066265959,1,"Medium",10.795758778142,"other",10.5059202548097,1
"15317",23560,41,"F",1,79,10.9080638492776,0,1,"Own",50005,"11/28/2016","Monday","Local",2,0,0,"Broker",1,0,7,"Large",10.8986760475209,"gray",9.84353422332114,1
"7455",17324,55,"M",1,73,11.5669211047312,1,1,"Own",50058,"2/14/2015","Saturday","Local",5,1,0,"Broker",1,8.50368232938829,5,"Medium",10.5212667696689,"white",10.6459995594965,1
"2270",23975,49,"M",1,46,10.9004730871159,1,1,"Own",80030,"7/10/2016","Sunday","Local",3,0,36,"Broker",0,8.75527264474642,1,"Compact",9.61587214452889,"silver",10.6520743458378,1
"5477",24697,33,"M",1,90,11.4224754553815,1,1,"Own",15009,"5/31/2015","Sunday","Parking Lot",0,0,2,"Phone",1,7.27292603112212,8,"Medium",10.3612912242616,"gray",9.42104197425309,1
"17133",21353,47,"M",0,59,11.663653150173,0,0,"Rent",15010,"6/12/2015","Friday","Local",2,0,91,"Phone",1,0,7,"Large",10.8508399905511,"black",10.7197595584002,1
"2628",25232,48,"F",1,59,11.5432121575751,0,1,"Rent",80037,"4/5/2016","Tuesday","Local",7,0,25,"Phone",0,8.42344059794427,7,"Medium",9.61587214452889,"blue",10.2075078792235,1
"11905",25721,27,"F",0,80,10.9383077081165,1,0,"Own",50031,"11/15/2015","Sunday","Local",0,1,3,"Online",1,8.14637006080089,2,"Large",10.8409083891139,"black",10.8404588514986,1
"12139",22251,31,"F",0,80,11.6744914405516,1,0,"Rent",15009,"8/27/2015","Thursday","Local",5,0,52,"Broker",0,0,20,"Large",11.0697278297775,"silver",10.2431650603543,1
"14584",26816,46,"M",1,51,10.4466254657694,0,0,"Own",80021,"6/14/2015","Sunday","Local",3,0,32,"Broker",1,8.61010777680149,8,"Large",9.81226045346122,"blue",10.2028363008898,1
"888",23463,29,"M",1,78,11.5795274806378,0,1,"Rent",15034,"7/11/2016","Monday","Highway",12,0,66,"Phone",1,0,1,"Compact",10.3271654205829,"black",9.35241167008335,1
"8826",5545,20,"M",0,83,10.8824713537487,0,0,"Rent",15046,"8/19/2015","Wednesday","Local",0,0,50,"Phone",1,6.50561962209484,5,"Medium",9.61587214452889,"white",9.74125226104458,1
"12827",22725,51,"F",1,85,11.7223432474259,1,1,"Rent",85061,"4/12/2016","Tuesday","Highway",17,0,35,"Broker",0,0,7,"Compact",9.61587214452889,"other",10.2865140773867,1
"11516",9171,44,"F",1,84,11.2710067583297,1,1,"Own",85001,"12/27/2015","Sunday","Local",12,0,50,"Phone",1,0,1,"Large",10.4510509189193,"silver",9.37869968115542,1
"15514",2357,42,"F",1,35,11.5966874015755,1,0,"Own",20101,"11/10/2016","Thursday","Local",0,0,60,"Broker",1,0,3,"Large",9.61587214452889,"red",9.42491686824595,1
"17304",26259,42,"M",0,94,11.3626140723057,1,0,"Rent",20146,"5/8/2015","Friday","Highway",0,0,5,"Broker",1,0,1,"Large",9.61587214452889,"red",10.3555059563163,1
"11976",11085,46,"M",1,47,11.491844821359,1,1,"Own",85031,"3/17/2016","Thursday","Local",10,0,74,"Broker",1,0,1,"Medium",9.61587214452889,"white",10.0395251843553,1
"16145",11665,44,"F",1,70,11.0637122103318,1,0,"Rent",50022,"10/8/2016","Saturday","Local",0,0,45,"Phone",1,0,1,"Medium",10.7182513516568,"black",9.50967761823987,1
"17577",12689,78,"M",1,59,10.7119034995138,0,1,"Own",85075,"2/4/2015","Wednesday","Local",0,0,18,"Phone",1,0,11,"Large",9.61587214452889,"white",9.9727698032822,1
"7247",11221,32,"F",0,55,11.1965558106542,1,0,"Rent",15022,"7/21/2016","Thursday","Parking Lot",0,0,26,"Phone",0,8.92003619815264,7,"Medium",9.61587214452889,"black",10.429573522453,1
"5309",16928,64,"M",1,72,11.5189969958669,0,1,"Own",20106,"3/7/2016","Monday","Highway",12,0,88,"Phone",0,8.49513365922509,1,"Compact",10.772110790319,"other",10.7413765061587,1
"631",15491,30,"F",0,33,11.5599903321466,0,1,"Rent",20134,"12/24/2015","Thursday","Local",0,0,51,"Broker",0,8.27958046463227,12,"Medium",10.2523965204729,"black",9.51946376362898,1
"16083",13351,30,"F",1,88,10.6803782765289,1,1,"Own",20149,"5/5/2016","Thursday","Local",6,0,0,"Online",1,8.5094069572158,8,"Medium",9.61587214452889,"silver",10.0073074936682,1
"3956",3836,27,"M",1,69,10.3712386467286,0,1,"Rent",20106,"7/16/2016","Saturday","Local",0,0,11,"Online",1,0,2,"Compact",9.61587214452889,"black",10.4914485055825,1
"8006",12281,35,"M",1,82,11.0312054663429,1,1,"Own",80002,"8/11/2016","Thursday","Highway",0,1,95,"Broker",1,8.17501832566977,1,"Compact",9.61587214452889,"gray",10.3173773798287,1
